ANO;LOCALIDAD_MADRE;EDAD_MADRE;SEXO;REGIMEN_SEGURIDAD;total
2009;Barrios Unidos;27;MASCULINO;EXCEPCION;4
2009;Barrios Unidos;27;MASCULINO;NO ASEGURADO;2
2009;Barrios Unidos;27;MASCULINO;SUBSIDIADO;3
2009;Barrios Unidos;28;FEMENINO;CONTRIBUTIVO;37
2009;Barrios Unidos;28;FEMENINO;EXCEPCION;2
2009;Barrios Unidos;28;FEMENINO;NO ASEGURADO;2
2009;Barrios Unidos;28;FEMENINO;SIN INFORMACION;1
2009;Barrios Unidos;28;FEMENINO;SUBSIDIADO;4
2009;Barrios Unidos;28;MASCULINO;CONTRIBUTIVO;31
2009;Barrios Unidos;28;MASCULINO;EXCEPCION;1
2009;Barrios Unidos;28;MASCULINO;NO ASEGURADO;3
2009;Barrios Unidos;28;MASCULINO;SUBSIDIADO;2
2009;Barrios Unidos;29;FEMENINO;CONTRIBUTIVO;32
2009;Barrios Unidos;29;FEMENINO;EXCEPCION;2
2009;Barrios Unidos;29;FEMENINO;NO ASEGURADO;4
2009;Barrios Unidos;29;FEMENINO;SUBSIDIADO;2
2009;Barrios Unidos;29;MASCULINO;CONTRIBUTIVO;39
2009;Barrios Unidos;29;MASCULINO;NO ASEGURADO;3
2009;Barrios Unidos;29;MASCULINO;SUBSIDIADO;2
2009;Barrios Unidos;30;FEMENINO;CONTRIBUTIVO;35
2009;Barrios Unidos;30;FEMENINO;NO ASEGURADO;1
2009;Barrios Unidos;30;FEMENINO;SUBSIDIADO;3
2009;Barrios Unidos;30;MASCULINO;CONTRIBUTIVO;33
2009;Barrios Unidos;30;MASCULINO;NO ASEGURADO;5
2009;Barrios Unidos;30;MASCULINO;SUBSIDIADO;2
2009;Barrios Unidos;31;FEMENINO;CONTRIBUTIVO;30
2009;Barrios Unidos;31;FEMENINO;EXCEPCION;1
2009;Barrios Unidos;31;FEMENINO;NO ASEGURADO;2
2009;Barrios Unidos;31;FEMENINO;SUBSIDIADO;7
2009;Barrios Unidos;31;MASCULINO;CONTRIBUTIVO;29
2009;Barrios Unidos;31;MASCULINO;NO ASEGURADO;3
2009;Barrios Unidos;31;MASCULINO;SUBSIDIADO;3
2009;Barrios Unidos;32;FEMENINO;CONTRIBUTIVO;33
2009;Barrios Unidos;32;FEMENINO;EXCEPCION;4
2009;Barrios Unidos;32;FEMENINO;NO ASEGURADO;2
2009;Barrios Unidos;32;FEMENINO;SUBSIDIADO;4
2009;Barrios Unidos;32;MASCULINO;CONTRIBUTIVO;31
2009;Barrios Unidos;32;MASCULINO;EXCEPCION;2
2009;Barrios Unidos;32;MASCULINO;NO ASEGURADO;2
2009;Barrios Unidos;33;FEMENINO;CONTRIBUTIVO;20
2009;Barrios Unidos;33;FEMENINO;NO ASEGURADO;2
2009;Barrios Unidos;33;FEMENINO;SIN INFORMACION;1
2009;Barrios Unidos;33;FEMENINO;SUBSIDIADO;2
2009;Barrios Unidos;33;MASCULINO;CONTRIBUTIVO;38
2009;Barrios Unidos;33;MASCULINO;EXCEPCION;2
2009;Barrios Unidos;33;MASCULINO;NO ASEGURADO;3
2009;Barrios Unidos;33;MASCULINO;SUBSIDIADO;5
2009;Barrios Unidos;34;FEMENINO;CONTRIBUTIVO;24
2009;Barrios Unidos;34;FEMENINO;EXCEPCION;1
2009;Barrios Unidos;34;FEMENINO;NO ASEGURADO;6
2009;Barrios Unidos;34;MASCULINO;CONTRIBUTIVO;29
2009;Barrios Unidos;34;MASCULINO;NO ASEGURADO;3
2009;Barrios Unidos;34;MASCULINO;SUBSIDIADO;1
2009;Barrios Unidos;35;FEMENINO;CONTRIBUTIVO;22
2009;Barrios Unidos;35;FEMENINO;EXCEPCION;2
2009;Barrios Unidos;35;FEMENINO;NO ASEGURADO;2
2009;Barrios Unidos;35;FEMENINO;SUBSIDIADO;1
2009;Barrios Unidos;35;MASCULINO;CONTRIBUTIVO;25
2009;Barrios Unidos;35;MASCULINO;NO ASEGURADO;2
2009;Barrios Unidos;35;MASCULINO;SUBSIDIADO;1
2009;Barrios Unidos;36;FEMENINO;CONTRIBUTIVO;20
2009;Barrios Unidos;36;FEMENINO;NO ASEGURADO;2
2009;Barrios Unidos;36;MASCULINO;CONTRIBUTIVO;25
2009;Barrios Unidos;36;MASCULINO;NO ASEGURADO;3
2009;Barrios Unidos;36;MASCULINO;SUBSIDIADO;4
2009;Barrios Unidos;37;FEMENINO;CONTRIBUTIVO;21
2009;Barrios Unidos;37;FEMENINO;SUBSIDIADO;2
2009;Barrios Unidos;37;MASCULINO;CONTRIBUTIVO;23
2009;Barrios Unidos;37;MASCULINO;NO ASEGURADO;1
2009;Barrios Unidos;37;MASCULINO;SUBSIDIADO;1
2009;Barrios Unidos;38;FEMENINO;CONTRIBUTIVO;12
2009;Barrios Unidos;38;FEMENINO;EXCEPCION;1
2009;Barrios Unidos;38;FEMENINO;SUBSIDIADO;1
2009;Barrios Unidos;38;MASCULINO;CONTRIBUTIVO;19
2009;Barrios Unidos;38;MASCULINO;SUBSIDIADO;1
2009;Barrios Unidos;39;FEMENINO;CONTRIBUTIVO;16
2009;Barrios Unidos;39;FEMENINO;EXCEPCION;3
2009;Barrios Unidos;39;FEMENINO;NO ASEGURADO;1
2009;Barrios Unidos;39;MASCULINO;CONTRIBUTIVO;18
2009;Barrios Unidos;40;FEMENINO;CONTRIBUTIVO;12
2009;Barrios Unidos;40;FEMENINO;NO ASEGURADO;3
2009;Barrios Unidos;40;FEMENINO;SUBSIDIADO;1
2009;Barrios Unidos;40;MASCULINO;CONTRIBUTIVO;16
2009;Barrios Unidos;40;MASCULINO;NO ASEGURADO;1
2009;Barrios Unidos;40;MASCULINO;SUBSIDIADO;1
2009;Barrios Unidos;41;FEMENINO;CONTRIBUTIVO;7
2009;Barrios Unidos;41;FEMENINO;SUBSIDIADO;1
2009;Barrios Unidos;41;MASCULINO;CONTRIBUTIVO;2
2009;Barrios Unidos;41;MASCULINO;SUBSIDIADO;1
2009;Barrios Unidos;42;FEMENINO;CONTRIBUTIVO;5
2009;Barrios Unidos;42;MASCULINO;CONTRIBUTIVO;7
2009;Barrios Unidos;42;MASCULINO;NO ASEGURADO;3
2009;Barrios Unidos;43;FEMENINO;CONTRIBUTIVO;2
2009;Barrios Unidos;43;FEMENINO;SUBSIDIADO;1
2009;Barrios Unidos;43;MASCULINO;CONTRIBUTIVO;2
2009;Barrios Unidos;43;MASCULINO;SUBSIDIADO;1
2009;Barrios Unidos;44;FEMENINO;CONTRIBUTIVO;1
